,Domain_Name,Organization_Name
376,cec.nic.in,Consortium for Educational Communication (CEC)
377,cecri.res.in,Central Electro Chemical Research Institute (CECRI)
378,cedzsewa.gov.in,"Chief Engineer Delhi Zone, Military Engineer Services"
379,ceeri.res.in,Central Electronics Engineering Research Institute
380,ceib.gov.in,Central Economic Intelligence Bureau (CEIB)
381,ceil.co.in,Certification Engineers International Limited
382,celindia.co.in,Central Electronics Limited
383,cem.sameer.gov.in,"SAMEER - Centre for Electromagnetics (CEM), Chennai"
384,cen.bsf.gov.in,"Central Workshop and Stores, Border Security Force (BSF)"
385,cenexahmedabad.nic.in,"Central Excise, Ahmedabad  I"
386,cenexbhavnagar.nic.in,"Central Board of Excise and Customs (CBEC), Bhavnagar"
387,cenexcisekochi.gov.in,"Central Excise, Service Tax and Customs, Cochin"
388,cenexcisenagpur.nic.in,"Customs and Central Excise Commissionerate, Nagpur"
389,cenexcisetvm.gov.in,"Central Excise, Customs & Service Tax Commissionerate, Thiruvananthapuram"
390,cenexcisevizag2.gov.in,"Customs, Central Excise and Service Tax Commissionerate, Kakinada (Visakhapatnam – II)"
391,cenexgstvizag1.gov.in,"Central Excise, Customs and Service Tax Commissionerate, Visakhapatnam – I"
392,cenexkovai.tn.nic.in,"Central Excise, Coimbatore"
393,cenjows.gov.in,Centre for Joint Warfare Studies (CENJOWS)
394,cenlib.iitm.ac.in,"Central Library, Indian Institute of Technology, Madras"
395,census-pon.gov.in,"Directorate of Census Operations, Puducherry"
396,census.tn.nic.in,Directorate of Census Operations Tamil Nadu
397,censusgujarat.gov.in,"Directorate of Census Operations, Gujarat"
398,censusindia.gov.in,"Office of the Registrar General and Census Commissioner, Census of India"
399,censuskarnataka.gov.in,"Directorate of Census Operations, Karnataka"
400,censusmp.gov.in,"Directorate of Census Operation, Madhya Pradesh"
401,centralexciseahmedabad3.nic.in,"Central Excise, Ahmedabad - III"
402,centralexciseaudit03vapi.gov.in,"Commissionerate of Central Excise, Customs & Service Tax, Audit-III, Vapi, Gujarat"
403,centralexciseaurangabad.gov.in,"Central Excise, Aurangabad"
404,centralexcisecalicut.gov.in,"Commissioner of Central Excise and Customs, Calicut"
405,centralexcisechennai.gov.in,"Central Excise, Chennai"
406,centralexciseguwahati.gov.in,"Central Excise and Service Tax, Guwahati, Assam"
407,centralexcisejaipur.nic.in,"Central Excise Zone, Jaipur"
408,centralexcisekanpur.gov.in,"Office of the Commissioner - Customs, Central Excise & Service Tax, Kanpur"
409,centralexcisemadurai.tn.nic.in,"Central Excise, Madurai"
410,centralexcisemeerut1.gov.in,"Central Excise and Service Tax Commissionerate, Meerut - I, Uttar Pradesh"
411,centralexciseorissa.gov.in,"Central Excise,Customs and Service Tax, Bhubaneswar"
412,centralexciserajkot.gov.in,"Central GST Comissionerate, Rajkot"
413,centralexcisetrichy.gov.in,"Central Excise, Trichy"
414,centralstaffing.gov.in,"Central Staffing Scheme, Department of Personnel and Training"
415,centralwaqfcouncil.gov.in,Central Waqf Council
416,ceo.gujarat.gov.in,"Chief Electoral Officer (CEO), Gujarat"
417,ceo.kerala.gov.in,"Chief Electoral Officer (CEO), Kerala"
418,ceo.maharashtra.gov.in,"Chief Electoral Officer (CEO), Maharashtra"
419,ceo.uk.gov.in,"Chief Electoral Officer (CEO), Uttarakhand"
420,ceoan.and.nic.in,"Chief Electoral Officer (CEO), Andaman and Nicobar "
421,ceoandhra.nic.in,"Chief Electoral Officer (CEO), Andhra Pradesh"
422,ceoarunachal.nic.in,"Chief Electoral Officer (CEO), Arunachal Pradesh"
423,ceoassam.nic.in,"Chief Electoral Officer (CEO), Assam"
424,ceobihar.nic.in,"Chief Electoral Officer (CEO), Bihar"
425,ceochandigarh.nic.in,"Chief Electoral Officer (CEO), Chandigarh"
426,ceochhattisgarh.nic.in,"Chief Electoral Officer (CEO), Chhattisgarh"
427,ceodaman.nic.in,"Chief Electoral Officer (CEO), Daman and Diu"
428,ceodelhi.gov.in,"Chief Electoral Officer (CEO), Delhi"
429,ceodnh.nic.in,"Chief Electoral Officer (CEO), Dadra and Nagar Haveli"
430,ceogoa.nic.in,"Chief Electoral Officer (CEO), Goa"
431,ceoharyana.nic.in,"Chief Electoral Officer (CEO), Haryana"
432,ceohimachal.nic.in,"Chief Electoral Officer (CEO), Himachal Pradesh, india"
433,ceojammukashmir.nic.in,"Chief Electoral Officer (CEO), Jammu and Kashmir"
434,ceokarnataka.kar.nic.in,"Chief Electoral Officer (CEO), Karnataka"
435,ceolakshadweep.gov.in,"Chief Electoral Officer (CEO), Lakshadweep"
436,ceomadhyapradesh.nic.in,"Chief Electoral Officer (CEO), Madhya Pradesh"
437,ceomanipur.nic.in,"Chief Electoral Officer (CEO), Manipur"
438,ceomeghalaya.nic.in,"Chief Electoral Officer (CEO), Meghalaya"
439,ceomizoram.nic.in,"Chief Electoral Officer (CEO), Mizoram"
440,ceonagaland.nic.in,"Chief Electoral Officer (CEO), Nagaland"
441,ceoorissa.nic.in,"Chief Electoral Officer (CEO), Odisha"
442,ceopuducherry.py.gov.in,"Chief Electoral Officer (CEO), Puducherry"
443,ceopunjab.nic.in,"Chief Electoral Officer (CEO), Punjab"
444,ceorajasthan.nic.in,"Chief Electoral Officer (CEO), Rajasthan"
445,ceosikkim.nic.in,"Chief Electoral Officer (CEO), Sikkim"
446,ceotelangana.nic.in,"Chief Electoral Officer (CEO), Telangana"
447,ceotripura.nic.in,"Chief Electoral Officer (CEO), Tripura "
448,ceoup.gov.in,"Chief Electoral Officer (CEO), Uttar Pradesh"
450,cept.gov.in,Center for Excellence in Postal Technology  (CEPT)
451,cerc-efiling.gov.in,e-Filing System of Central Electricity Regulatory Commission (CERC)
452,cercind.gov.in,Central Electricity Regulatory Commission (CERC)
453,cert-in.org.in,Indian Computer Emergency Response Team (CERT-In)
454,cettm.mtnl.in,"Centre for Excellence in Telecom Technology and Management (CETTM), MTNL"
455,cewacor.nic.in,Central Warehousing Corporation (CWC)
456,cexaudithyd.gov.in,"Hyderabad Audit Commissionerate, Central Excise and Service Tax"
457,cexauditjaipur.gov.in,"Commissioner(Audit), Central Excise and Service Tax, Jaipur"
458,cexbhopal.gov.in,"Customs and Central Excise, Bhopal"
459,cexbokaro.gov.in,"Ranchi(II) Bokaro Commissionerate, Central Excise And Service Tax"
460,cexchd1.gov.in,"Central Excise, Customs and Service Tax Commissionerate, Chandigarh-I"
461,cexcusner.gov.in,"Central Board of Excise and Customs, Shillong Zone, Shillong"
462,cexdhanbad.gov.in,"Dhanbad Commissionerate, Central Excise and Service Tax"
463,cexdibrugarh.gov.in,"Central Excise, Dibrugarh"
464,cexgurgaon.gov.in,"Central Excise and Customs Commissionerate, Gurgaon-II"
465,cexpatna.bih.nic.in,"Central Excise, Customs and Service Tax, Patna"
466,cexraigad.gov.in,"Raigad Central Excise, Customs and Service tax Commissionerate"
467,cexraipur.gov.in,"Central Excise & Customs, Commissionerate, Raipur"
468,cexstshillong.gov.in,"Central Excise, Shillong"
469,cfajabalpur.nic.in,"Controller of Finance & Accounts (Fys), Jabalpur"
470,cfamedak.gov.in,"Controller of Finance & Accounts (FYS), Ordnance Factory, Medak"
471,cfqcti.dacnet.nic.in,Central Fertilizer Quality Control and Training Institute
472,cfsindia.org,"Children's Film Society, India"
473,cfslbpl.gov.in,"Central Forensic Science Laboratory (CFSL), Bhopal"
474,cfslghy.gov.in,"Central Forensic Science Laboratory (CFSL), Guwahati"
475,cfslhyd.gov.in,"Central Forensic Science Laboratory (CFSL), Hyderabad"
476,cfslpune.gov.in,"Central Forensic Science Laboratory (CFSL), Pune"
477,cftichennai.in,"Central Footwear Training Institute,Chennai"
478,cftri.com,Central Food Technological Research Institute (CFTRI)
479,cg.nic.in,"Chhattisgarh State Centre, National Informatics Centre (NIC)"
480,cga.gov.in,Controller General of Accounts (CGA)
481,cgca.gov.in,Controller General Of Communication Accounts (CGCA)
482,cgcri.res.in,Central Glass and Ceramic Research Institute
483,cgda.nic.in,Controller General of Defence Accounts (CGDA)
484,cgewho.nic.in,Central Government Employees Welfare Housing Organisation (CGEWHO)
485,cghs.gov.in,Central Government Health Scheme (CGHS)
486,cghsallahabad.nic.in,"Central Government Health Scheme (CGHS), Allahabad, Uttar Pradesh"
487,cghsbng.gov.in,"Central Government Health Scheme(CGHS), Bangalore"
488,cghschennai.tn.nic.in,"Central Government Health Scheme (CGHS), Chennai, Tamilnadu"
489,cghsjaipur.nic.in,"Central Government Health Scheme (CGHS), Jaipur, Rajasthan"
490,cghskolkata.nic.in,"Central Government Health Scheme (CGHS), Kolkata"
491,cghsmumbai.gov.in,"Central Government Health Scheme (CGHS), Mumbai"
492,cghsnagpur.gov.in,"Central Government Health Scheme (CGHS), Nagpur"
493,cghspune.gov.in,"Central Government Health Scheme (CGHS), Pune"
494,cgpost.gov.in,"Chhattisgarh Postal Circle, Department of Posts"
495,cgstahmedabadzone.gov.in,"Central Excise, Ahmedabad Zone"
496,cgstappealschd.gov.in,"Commissioner(Appeals), Goods & Service Tax (GST) Commissionerate, Chandigarh"
497,cgstappealsjaipur.gov.in,"Office of The Commissioner (Appeals), CGST, Jaipur"
498,cgstdelhisouth.gov.in,"Goods and Services Tax (GST) Commissionerate, Delhi South"
499,cgsthyderabadzone.gov.in,Goods and Services Tax (GST) - Hyderabad Zone
500,cgstkolkata.gov.in,"Central Goods and Services Tax (CGST) Zone, Kolkata"
501,cgstmeerutzone.gov.in,"Customs, Central Goods and Services Tax (CGST), Meerut Zone"
502,cgstsurat.gov.in,"Central Goods and Services Tax (CGST) and Excise Commissionerate, Surat"
503,cgstujjain.gov.in,"CGST and Central Excise, Ujjain Commissionerate"
504,cgtmse.in,"Credit Guarantee Fund Trust for Micro and Small Enterprise (CGTMSE), Mumbai, Mahrashtra"
505,cgwb.gov.in,Central Ground Water Board (CGWB)
506,cgwbchd.nic.in,Central Ground Water Board North Westerm Region Chandigarh
507,cgwbswr.kar.nic.in,"Central Ground Water Board, South Western Region, Bangalore"
508,chandigarhcensus.gov.in,"Directorate of Census Operations, Chandigarh"
509,chbl.co.in,"CREDA - HPCL Bio fuel Limited, Raipur, Chhattisgarh"
510,cheb.nic.in,Central Health Education Bureau (CHEB)
511,chemexcil.gov.in,"CHEMEXCIL - Basic Chemicals, Pharmaceuticals and Cosmetics Export Promotion Council"
512,chemicals.gov.in,Department of Chemicals and Petrochemicals
513,chennai.bsnl.co.in,Chennai Telephones
514,chennai.stpi.in,"Software Technology Parks of India (STPI), Chennai, Tamilnadu"
515,chennaicustoms.gov.in,Chennai Customs
516,chennaimetrorail.org,Chennai Metro Rail Limited
517,chennaiport.gov.in,Chennai Port Trust
518,chennaipost.gov.in,Chennai Post
519,chhattisgarh.bsnl.co.in,Chhattisgarh Telecom Circle
520,chsmohfw.nic.in,"Central Health Service, Ministry of Health and Family Welfare"
521,cht.gov.in,"Centre for High Technology (CHT), Noida, Uttar Pradesh"
522,ciae.nic.in,Central Institute of Agricultural Engineering (CIAE)
523,ciah.ernet.in,Central Institute for Arid Horticulture (CIAH)
524,ciari.icar.gov.in,"ICAR - Central Island Agricultural Research Institute (CIARI), Port Blair"
525,ciba.res.in,Central Institute of Brackishwater Aquaculture (CIBA)
526,cibrc.gov.in,Central Insecticides Board and Registration Committee
527,cic.gov.in,Central Information Commission (CIC)
528,cicef.gov.in,"Central Institute of Coastal Engineering for Fishery, Bangalore"
529,cicr.org.in,"Central Institute for Cotton Research (CICR), Nagpur, Maharashtra"
530,cics.tn.nic.in,"Centre for International Co-operation in Science (CICS), Chennai"
531,cict.in,Central Institute of Classical Tamil (CICT)
532,ciet.nic.in,Central Institute of Educational Technology (CIET)
533,cifa.in,Central Institute of Freshwater Aquaculture (CIFA)
534,cife.edu.in,"Central Institute of Fisheries Education (CIFE), Mumbai"
535,cifnet.gov.in,Central Institute of Fisheries Nautical and Engineering Training
536,cifri.ernet.in,"Central Inland Fisheries Research Institute, Kolkata, West Bengal"
537,cift.res.in,"Central Institute of Fisheries Technology (CIFT), Cochin, Kerala"
538,cihmct.com,Chandigarh Institute of Hotel Management and Catering Technology (CIHM)
539,cihner.gov.in,"Central Institute of Horticulture, Nagaland"
540,ciht.in,"Central Institute Of Hand Tools, Jalandhar, Punjab"
541,ciil.org,Central Institute of Indian Languages (CIIL)
542,cimap.res.in,Central Institute of Medicinal and Aromatic Plants (CIMAP)
543,cimfr.nic.in,Central Institute of Mining and Fuel Research
544,cipa.gov.in,Common Integrated Police Application
545,cipam.gov.in,Cell for IPR Promotion and Management (CIPAM)
546,cipet.gov.in,Central Institute of Plastics Engineering and Technology (CIPET)
547,ciphet.in,Central Institute of Post Harvest Engineering and Technology (CIPHET)
548,cipmcjk.nic.in,Central Integrated Pest Management Centre (CIPMC)
549,cipranchi.nic.in,Central Institute of Psychiatry (CIP)
550,cirb.res.in,Central Institute for Research on Buffaloes (CIRB)
551,circ.org.in,"Project Directorate on Cattle, Meerut, Uttar Pradesh"
552,circot.res.in,Central Institute for Research on Cotton Technology (CIRCOT)
553,cirg.res.in,Central Institute for Research on Goats (CIRG)
554,cisf.gov.in,Central Industrial Security Force (CISF)
555,cisfws.gov.in,"West Sector, Central Industrial Security Force (CISF), Navi Mumbai"
556,cish.res.in,"Central Institute for Subtropical Horticulture (CISH), Lucknow, Uttar Pradesh"
557,citdindia.org,Central Institute of Tool Design (CITD)
558,civil.bsnl.co.in,"Civil Wing, BSNL"
559,civilaviation.gov.in,Ministry of Civil Aviation
560,ciwtcltd.com,Central Inland Water Transport Corporation Limited (CIWTC)
561,clc.gov.in,Chief Labour Commissioner (Central)
562,cleanmoney.gov.in,"Operation Clean Money(OCM), Income Tax Department"
563,clinicalestablishments.gov.in,"The Clinical Establishments (Registration and Regulation) Act, 2010, New Delhi"
565,clotbase.bicnirrh.res.in,"Clotbase - Biomedical Informatics Centre, NIRRH, ICMR, Mumbai"
566,cloud.gov.in,"MeghRaj Cloud Initiative, National Cloud by NIC, New Delhi"
567,clri.org,Central Leather Research Institute (CLRI)
568,cltri.gov.in,"Central Leprosy Teaching and Research Institute, Chengalpattu, Tamil Nadu"
569,cluster.dcmsme.gov.in,MSME - Cluster Development Programme
570,clw.indianrailways.gov.in,Chittaranjan Locomotive Works (CLW)
571,cmeri.res.in,Central Mechanical Engineering Research Institute (CMERI)
572,cmerti.res.in,"Central Muga Eri Research and Training Institute (CMER and TI), Lahdoigarh, Jorhat, Assam"
573,cmet.gov.in,Centre for Materials for Electronics Technology (CMET)
574,cmf.gov.in,Content Management Framework (CMF) for Government Websites
575,cmfri.org.in,"Central Marine Fisheries Research Institute (CMFRI), Kochi, Kerala"
576,cmlre.gov.in,Centre for Marine Living Resources and Ecology (CMLRE)
577,cmmacs.ernet.in,CSIR Fourth Paradigm Institute (formerly CSIR Centre for Mathematical Modelling and Computer Simulation)
578,cmpdi.co.in,"Central Mine Planning and Design Institute Limited, Ranchi"
579,cmpfo.gov.in,Coal Mines Provident Fund Organisation (CMPFO)
580,cmss.gov.in,Central Medical Services Society (CMSS)
581,cmti-india.net,Central Manufacturing Technology Institute (CMTI)
582,coa.gov.in,Council of Architecture
583,coal.gov.in,Ministry of Coal
584,coalclearances.gov.in,"Online Coal Clearances System, Ministry of Coal"
585,coalcontroller.gov.in,Coal Controller (CC)
586,coalindia.in,Coal India Limited (CIL)
587,coalindiatenders.gov.in,eProcurement Portal of Coal India Limited (CIL)
588,cochincustoms.nic.in,"Custom House, Cochin"
589,cochinport.gov.in,Cochin Port Trust
590,cochinshipyard.com,Cochin Shipyard Limited
591,coconutboard.gov.in,Coconut Development Board
592,cofcau.nic.in,"College of Fisheries Lembucherra, Tripura, Central Agricultural University, Imphal"
593,cofmow.gov.in,Central Organisation for Modernisation of Workshops (COFMOW)
594,coirboard.gov.in,Coir Board
595,coirservices.gov.in,"Coir Board Services, Ministry of Micro, Small and Medium Enterprises (MSME)"
596,comet.nic.in,"Communication for Election Tracking (ComET), Election Commission of India"
597,commerce.gov.in,Department of Commerce
598,commissionercustomslucknow.gov.in,"Commissioner Customs (Preventive), Lucknow"
599,companyliquidator.gov.in,"Company Liquidators,Ministry Of Corporate Affairs"
600,compat.nic.in,Competition Appellate Tribunal
601,concorindia.com,Container Corporation of India Limited (CONCOR)
602,consumeraffairs.nic.in,Department of Consumer Affairs
603,consumerhelpline.gov.in,INGRAM Portal - National Consumer Helpline
604,copyright.gov.in,"Copyright Office, India"
605,core.indianrailways.gov.in,Central Organisation for Railway Electrification (CORE)
606,core.nic.in,Consumer Online Resource and Empowerment Centre (CORE)
607,cotcorp.org.in,Cotton Corporation of India Limited (CCI)
608,cottageemporium.in,Central Cottage Industries Corporation of India Limited
609,cp.indianmuseumkolkata.org,"Indian Museum, Kolkata"
610,cpao.gov.in,Central Pension Accounting Office (CPAO)
611,cpcb.nic.in,Central Pollution Control Board (CPCB)
612,cpcbbrms.nic.in,"Batteries(Importers) Registration and Management SyCentral Pollution Control Board (CPCB), Delhi"
613,cpcbenvis.nic.in,ENVIS Centre on Control of Pollution - Central Pollution Control Board (CPCB)
614,cpcl.co.in,Chennai Petroleum Corporation Limited (CPCL)
615,cpcletenders.nic.in,eProcurement Portal of  Chennai Petroleum Corporation Limited (CPCL)
616,cpcri.gov.in,Central Plantation Crops Research Institute (CPCRI)
617,cpdobbser.in,"Central Poultry Development Organization (CPDO), Eastern Region"
618,cpdonrchd.gov.in,Central Poultry Development Organisation (Northern Region) Chandigarh
619,cpdosrbng.kar.nic.in,"Central Poultry Development Organization, Southern Region, Hessarghatta, Bangalore"
620,cpheeo.nic.in,Central Public Health and Environmental Engineering Organisation (CPHEEO)
621,cppri.org.in,"Central Pulp and Paper Research Institute (CPPRI), Saharanpur"
622,cpreecenvis.nic.in,"ENVIS Centre on Conservation of Ecological Heritage and Sacred Sites of India, Chennai"
623,cpri.icar.gov.in,"ICAR - Central Potato Research Institute, Shimla"
